,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
406,Chandigarh Engineering College - [CEC] Landran,"₹ 96,500",JEE MAIN, 7.2 ,(213 Reviews),['AICTE'],"Durgapur,WestBengal",https://collegedunia.com/college/13015-bengal-college-of-engineering-and-technology-bcet-durgapur
407,Delhi Technical Campus - [DTC],"₹ 69,500",JEE MAIN, 8.3 ,(20 Reviews),['AICTE'],"Jhajjar,Haryana",https://collegedunia.com/college/13329-delhi-technical-campus-dtc-jhajjar
408,Dr. B.C. Roy Engineering College  - [BCREC],"₹ 108,980",JEE MAIN, 8.1 ,(209 Reviews),"['AICTE, NBA']","Durgapur,WestBengal",https://collegedunia.com/college/13372-dr-bc-roy-engineering-college-bcrec-durgapur
409,Erode Sengunthar Engineering College,"₹ 55,000",TNEA, 7.1 ,(29 Reviews),"['AICTE, NBA']","Perundurai,TamilNadu",https://collegedunia.com/college/13450-erode-sengunthar-engineering-college-perundurai
410,Fr. Conceicao Rodrigues College of Engineering - [CRCE],"₹ 162,000",JEE MAIN, 8 ,(39 Reviews),['AICTE'],"Mumbai,Maharashtra",https://collegedunia.com/college/13471-fr-conceicao-rodrigues-college-of-engineering-crce-mumbai
411,Geethanjali College of Engineering and Technology - [GCET] Keesara,"₹ 102,000",TS EAMCET, 8.1 ,(109 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/13548-geethanjali-college-of-engineering-and-technology-gcet-keesara-hyderabad
412,IILM University,"₹ 175,000",JEE MAIN, 7.7 ,(77 Reviews),"['AICTE, NBA']","GreaterNoida,UttarPradesh",https://collegedunia.com/college/13752-iilm-university-greater-noida
413,Inderprastha Engineering College - [IPEC],"₹ 136,056",JEE MAIN, 7.7 ,(316 Reviews),"['AICTE, NBA']","Ghaziabad,UttarPradesh",https://collegedunia.com/college/13781-inderprastha-engineering-college-ipec-ghaziabad
414,Kanpur Institute of Technology - [KIT],"₹ 55,000",JEE MAIN, 7.1 ,(47 Reviews),"['AICTE, PCI, NBA']","Kanpur,UttarPradesh",https://collegedunia.com/college/13978-kanpur-institute-of-technology-kit-kanpur
415,Kashi Institute of Technology - [KIT],"₹ 100,000",JEE MAIN, 7.6 ,(34 Reviews),['AICTE'],"Varanasi,UttarPradesh",https://collegedunia.com/college/13989-kashi-institute-of-technology-kit-varanasi
